iter	Passed	Remaining
0	60	60696
1	61	30710
2	62	20674
3	63	15814
4	64	12902
5	66	10969
6	66	9485
7	67	8366
8	68	7497
9	68	6799
10	69	6229
11	69	5751
12	70	5371
13	72	5079
14	72	4777
15	73	4509
16	74	4302
17	75	4105
18	76	3969
19	77	3803
20	83	3907
21	84	3771
22	85	3631
23	86	3511
24	87	3402
25	88	3319
26	89	3229
27	92	3213
28	93	3137
29	94	3065
30	96	3019
31	97	2944
32	98	2872
33	99	2816
34	104	2867
35	105	2825
36	106	2776
37	107	2719
38	107	2661
39	108	2614
40	110	2577
41	110	2531
42	112	2496
43	113	2475
44	117	2486
45	117	2446
46	119	2428
47	120	2387
48	121	2351
49	121	2315
50	123	2296
51	127	2322
52	128	2288
53	128	2252
54	130	2236
55	130	2204
56	131	2175
57	132	2145
58	132	2120
59	137	2150
60	137	2124
61	142	2155
62	143	2129
63	143	2102
64	144	2078
65	145	2054
66	145	2030
67	146	2013
68	147	1994
69	149	1980
70	149	1960
71	151	1947
72	151	1927
73	152	1907
74	153	1888
75	153	1869
76	154	1852
77	155	1836
78	155	1818
79	156	1800
80	157	1782
81	157	1765
82	158	1754
83	160	1746
84	160	1729
85	161	1719
86	162	1701
87	162	1687
88	163	1672
89	164	1660
90	164	1647
91	165	1633
92	166	1619
93	166	1607
94	167	1595
95	168	1584
96	168	1572
97	169	1560
98	170	1547
99	170	1536
100	171	1526
101	171	1512
102	172	1506
103	173	1495
104	174	1485
105	174	1474
106	175	1464
107	176	1454
108	176	1445
109	177	1437
110	178	1427
111	179	1422
112	180	1414
113	181	1406
114	182	1401
115	182	1393
116	183	1385
117	184	1377
118	184	1368
119	186	1369
120	188	1368
121	189	1360
122	189	1350
123	190	1343
124	190	1336
125	191	1328
126	192	1321
127	192	1313
128	193	1307
129	194	1299
130	194	1292
131	195	1285
132	197	1284
133	198	1282
134	200	1284
135	201	1277
136	201	1270
137	202	1262
138	202	1255
139	203	1248
140	203	1241
141	204	1235
142	204	1228
143	205	1221
144	206	1216
145	206	1210
146	207	1205
147	208	1199
148	209	1196
149	210	1190
150	211	1186
151	212	1183
152	212	1178
153	213	1172
154	214	1167
155	214	1161
156	215	1155
157	216	1151
158	217	1152
159	219	1154
160	220	1148
161	222	1148
162	222	1144
163	223	1140
164	225	1142
165	226	1139
166	227	1136
167	235	1167
168	236	1163
169	244	1192
170	245	1189
171	246	1184
172	246	1179
173	247	1174
174	249	1176
175	250	1173
176	251	1170
177	252	1166
178	253	1161
179	254	1159
180	254	1152
181	255	1147
182	255	1141
183	256	1137
184	257	1133
185	257	1128
186	258	1124
187	259	1120
188	259	1115
189	261	1113
190	262	1112
191	263	1108
192	264	1106
193	265	1104
194	266	1099
195	266	1094
196	267	1088
197	267	1083
198	269	1085
199	270	1081
200	271	1077
201	271	1073
202	272	1068
203	272	1064
204	273	1061
205	275	1060
206	276	1060
207	277	1057
208	279	1058
209	280	1054
210	280	1050
211	281	1046
212	282	1042
213	282	1038
214	283	1034
215	284	1031
216	284	1027
217	285	1023
218	285	1019
219	286	1016
220	288	1016
221	290	1017
222	291	1014
223	293	1015
224	293	1011
225	294	1007
226	294	1004
227	295	1000
228	296	997
229	296	993
230	297	990
231	298	987
232	298	983
233	299	980
234	300	977
235	301	976
236	303	976
237	303	973
238	304	969
239	305	967
240	306	964
241	306	961
242	307	957
243	308	954
244	308	951
245	309	948
246	310	945
247	310	941
248	311	939
249	311	935
250	312	933
251	313	930
252	314	927
253	317	931
254	319	934
255	320	931
256	321	928
257	321	925
258	322	922
259	323	919
260	323	916
261	324	912
262	327	916
263	328	915
264	328	912
265	329	909
266	330	906
267	331	905
268	332	902
269	332	899
270	333	896
271	334	893
272	334	891
273	335	888
274	336	886
275	336	883
276	344	898
277	344	895
278	345	892
279	346	889
280	346	886
281	347	884
282	349	884
283	349	881
284	350	879
285	350	876
286	357	888
287	358	886
288	359	883
289	359	880
290	360	877
291	360	875
292	361	872
293	363	872
294	364	870
295	364	867
296	365	864
297	365	861
298	370	869
299	371	867
300	372	864
301	372	861
302	373	859
303	374	856
304	374	853
305	375	850
306	376	850
307	377	848
308	378	845
309	378	843
310	379	840
311	380	838
312	385	846
313	386	843
314	386	841
315	387	838
316	388	836
317	388	833
318	390	832
319	390	830
320	391	827
321	392	825
322	392	822
323	393	820
324	394	818
325	400	827
326	400	825
327	402	824
328	403	821
329	403	819
330	404	818
331	405	816
332	406	813
333	407	812
334	408	810
335	412	814
336	413	814
337	415	814
338	416	811
339	417	809
340	417	807
341	418	804
342	418	802
343	419	799
344	420	797
345	420	795
346	421	793
347	422	791
348	423	789
349	423	787
350	424	784
351	430	792
352	431	790
353	432	788
354	433	788
355	434	786
356	435	784
357	436	782
358	436	780
359	442	787
360	444	786
361	444	784
362	445	782
363	446	780
364	448	780
365	449	779
366	453	782
367	456	784
368	461	788
369	462	787
370	464	787
371	464	784
372	465	783
373	470	788
374	471	785
375	471	783
376	472	780
377	472	778
378	473	775
379	473	773
380	474	770
381	474	768
382	475	765
383	475	763
384	476	760
385	476	758
386	477	756
387	478	754
388	479	753
389	480	751
390	482	752
391	483	750
392	484	748
393	485	747
394	486	745
395	487	743
396	488	741
397	489	740
398	490	738
399	490	736
400	491	734
401	493	733
402	493	731
403	494	729
404	495	728
405	496	726
406	497	725
407	498	723
408	499	721
409	500	719
410	506	726
411	508	725
412	509	724
413	513	726
414	513	724
415	514	722
416	515	720
417	516	718
418	517	717
419	518	715
420	519	713
421	519	712
422	520	710
423	521	708
424	522	707
425	523	705
426	524	703
427	526	703
428	528	702
429	529	701
430	530	700
431	531	698
432	531	696
433	532	694
434	533	692
435	534	691
436	535	689
437	536	688
438	537	687
439	539	686
440	540	685
441	543	685
442	544	684
443	544	682
444	545	680
445	546	678
446	547	677
447	548	675
448	549	673
449	549	672
450	551	670
451	552	669
452	553	667
453	554	666
454	555	664
455	556	663
456	558	663
457	558	661
458	559	659
459	560	658
460	561	656
461	562	655
462	563	653
463	564	652
464	565	651
465	566	649
466	570	651
467	574	652
468	575	651
469	576	650
470	577	648
471	580	649
472	581	647
473	582	646
474	585	646
475	586	645
476	587	644
477	588	642
478	591	643
479	592	642
480	594	641
481	594	639
482	595	637
483	596	636
484	597	634
485	598	632
486	598	630
487	599	629
488	600	627
489	601	626
490	604	626
491	605	625
492	607	624
493	608	623
494	609	621
495	610	620
496	611	619
497	612	617
498	613	616
499	615	615
500	618	615
501	619	614
502	619	612
503	620	610
504	621	608
505	623	609
506	624	607
507	626	606
508	626	604
509	630	605
510	632	605
511	634	604
512	635	603
513	636	601
514	637	600
515	638	598
516	639	596
517	640	595
518	641	594
519	642	593
520	644	592
521	645	590
522	646	589
523	646	587
524	647	586
525	648	584
526	649	583
527	651	581
528	651	580
529	652	578
530	653	577
531	654	576
532	657	576
533	660	576
534	660	574
535	661	572
536	662	571
537	663	569
538	664	568
539	665	566
540	666	565
541	666	563
542	667	562
543	668	560
544	670	559
545	671	558
546	672	556
547	673	555
548	674	554
549	675	552
550	676	551
551	677	549
552	678	548
553	678	546
554	680	545
555	680	543
556	681	542
557	684	541
558	685	540
559	686	539
560	687	537
561	688	536
562	688	534
563	689	533
564	690	531
565	691	530
566	692	528
567	693	527
568	694	525
569	695	524
570	696	523
571	697	522
572	698	520
573	700	519
574	700	518
575	701	516
576	702	515
577	703	513
578	704	512
579	705	510
580	706	509
581	707	508
582	708	506
583	708	505
584	709	503
585	711	502
586	714	502
587	714	500
588	715	499
589	716	497
590	716	495
591	717	494
592	718	493
593	719	491
594	719	489
595	720	488
596	721	486
597	721	485
598	725	485
599	726	484
600	726	482
601	727	480
602	728	479
603	728	477
604	729	476
605	730	474
606	731	473
607	731	471
608	732	470
609	733	468
610	733	467
611	734	465
612	735	464
613	740	465
614	740	463
615	741	462
616	742	460
617	743	459
618	743	457
619	744	456
620	745	455
621	746	453
622	746	452
623	747	450
624	748	448
625	748	447
626	749	445
627	755	447
628	756	446
629	757	444
630	757	443
631	758	441
632	758	440
633	759	438
634	760	437
635	761	435
636	762	434
637	763	432
638	763	431
639	764	429
640	765	428
641	769	429
642	770	427
643	771	426
644	771	424
645	772	423
646	773	421
647	773	420
648	774	418
649	776	417
650	776	416
651	777	414
652	778	413
653	778	411
654	784	413
655	785	411
656	785	410
657	786	408
658	787	407
659	787	405
660	788	404
661	789	402
662	790	401
663	791	400
664	791	398
665	792	397
666	793	395
667	794	394
668	799	395
669	800	394
670	800	392
671	801	391
672	802	389
673	802	388
674	803	386
675	805	385
676	805	384
677	806	382
678	806	381
679	807	380
680	808	378
681	812	378
682	813	377
683	814	376
684	814	374
685	815	373
686	815	371
687	816	370
688	817	368
689	818	367
690	819	366
691	820	365
692	821	363
693	821	362
694	822	360
695	823	359
696	824	358
697	825	357
698	826	355
699	826	354
700	827	352
701	828	351
702	828	350
703	830	349
704	830	347
705	831	346
706	831	344
707	832	343
708	833	341
709	837	342
710	840	341
711	840	340
712	841	338
713	842	337
714	842	336
715	843	334
716	845	333
717	846	332
718	852	333
719	853	332
720	854	330
721	855	329
722	855	327
723	856	326
724	857	325
