iter	Passed	Remaining
0	55	55034
1	55	27893
2	56	18767
3	57	14213
4	57	11489
5	58	9766
6	59	8484
7	60	7535
8	61	6787
9	62	6182
10	63	5676
11	63	5254
12	64	4896
13	65	4581
14	65	4303
15	66	4060
16	66	3851
17	67	3660
18	67	3491
19	68	3344
20	68	3210
21	69	3088
22	70	2974
23	70	2868
24	71	2775
25	71	2687
26	72	2609
27	72	2531
28	73	2465
29	74	2406
30	75	2346
31	75	2287
32	76	2231
33	76	2181
34	77	2131
35	77	2085
36	78	2041
37	79	2002
38	79	1963
39	80	1927
40	80	1891
41	81	1858
42	82	1825
43	82	1793
44	83	1762
45	83	1733
46	84	1703
47	84	1675
48	84	1648
49	85	1625
50	86	1602
51	87	1586
52	87	1567
53	88	1550
54	89	1532
55	89	1512
56	90	1492
57	90	1473
58	91	1456
59	91	1438
60	92	1422
61	93	1407
62	93	1392
63	94	1377
64	94	1363
65	95	1347
66	95	1333
67	96	1320
68	96	1307
69	97	1294
70	97	1281
71	98	1270
72	99	1258
73	99	1248
74	100	1237
75	101	1230
76	101	1220
77	102	1212
78	103	1205
79	103	1195
80	104	1185
81	105	1176
82	105	1165
83	106	1156
84	106	1147
85	107	1139
86	107	1129
87	108	1121
88	108	1114
89	109	1106
90	109	1098
91	110	1090
92	111	1083
93	111	1076
94	112	1068
95	112	1060
96	113	1052
97	113	1044
98	114	1038
99	114	1031
100	115	1027
101	116	1022
102	116	1017
103	117	1012
104	118	1007
105	118	1001
106	119	996
107	119	990
108	120	984
109	120	978
110	121	972
111	122	967
112	122	961
113	123	956
114	123	950
115	124	946
116	124	941
117	125	938
118	126	936
119	127	933
120	128	930
121	128	924
122	129	920
123	129	917
124	130	913
125	131	914
126	132	910
127	132	905
128	133	901
129	134	897
130	134	892
131	135	888
132	135	884
133	136	880
134	136	876
135	137	872
136	137	869
137	138	865
138	139	861
139	139	858
140	140	854
141	140	849
142	141	845
143	141	842
144	142	839
145	142	835
146	143	832
147	144	830
148	144	826
149	145	824
150	146	821
151	146	819
152	147	816
153	147	813
154	148	809
155	149	806
156	149	804
157	150	802
